developer_id,name,slug,games_count,image_background
405,Ubisoft,ubisoft,349,https://media.rawg.io/media/games/f80/f805774c679cca1a1a472d9ac39c78b7.jpg
1612,Valve Software,valve-software,44,https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg
18893,Feral Interactive,feral-interactive,107,https://media.rawg.io/media/screenshots/a8c/a8cd58ee985ab6d509370bddada91dbd.jpeg
3709,Ubisoft Montreal,ubisoft-montreal,122,https://media.rawg.io/media/games/459/459ac8745027643ed7338516c0025cf7.jpg
4132,Square Enix,square-enix,377,https://media.rawg.io/media/games/d89/d89bd0cf4fcdc10820892980cbba0f49.jpg
3678,Capcom,capcom,480,https://media.rawg.io/media/games/a38/a3857b2445c70ac5dbe73b210a827ad8.jpg
109,Electronic Arts,electronic-arts,315,https://media.rawg.io/media/games/90f/90fd5e569bc4c4a666c588a732124908.jpg
17132,Aspyr Media,aspyr-media,71,https://media.rawg.io/media/games/046/0464f4a36cd975a37c95b93b06058855.jpg
6,Sony Interactive Entertainment,sony-interactive-entertainment,527,https://media.rawg.io/media/games/596/596215939911a0d97facfc224b1bca30.jpg
425,SEGA,sega,585,https://media.rawg.io/media/games/0d4/0d4e5446db732e2fcce34d1dcb4dd914.jpg
4,Bethesda Softworks,bethesda-softworks,63,https://media.rawg.io/media/games/f14/f1422eacab98c5f85a5123da4e9d9e89.jpg
694,Telltale Games,telltale-games,131,https://media.rawg.io/media/games/674/674b67b66f510f5b273f50ca09341ee2.jpg
383,2K,2k,60,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
3,Warner Bros. Interactive,warner-bros-interactive,79,https://media.rawg.io/media/screenshots/1c9/1c9c69f0edb8c4f45e3fa6958fb8d40a.jpg
386,BANDAI NAMCO Entertainment America,bandai-namco-entertainment-america-inc,138,https://media.rawg.io/media/screenshots/104/104603a5c863d6fa6be4d4bb1fed6db6.jpeg
343,id Software,id-software,91,https://media.rawg.io/media/games/47b/47b50d880be8453bf9cda6e5c007bc26.jpg
4015,Gearbox Software,gearbox-software,57,https://media.rawg.io/media/games/4e2/4e2270713ba0d59ea1dba61158ff842e.jpg
436,Devolver Digital,devolver-digital,61,https://media.rawg.io/media/screenshots/2fc/2fc6994425146f9dba3133400b414e29.jpg
4207,Bethesda Game Studios,bethesda-game-studios,42,https://media.rawg.io/media/games/291/2919a3b400ace62dd5c1d145d6ee97d5.jpg
16257,Nintendo,nintendo,429,https://media.rawg.io/media/games/c23/c231ef56cdd277fad5fbcd2f6b7d2951.jpg
23342,NVIDIA Lightspeed Studios,nvidia-lightspeed-studios,22,https://media.rawg.io/media/screenshots/a0f/a0f898ff084625c10e7f84058325b2eb.jpg
84,THQ Nordic,thq-nordic,67,https://media.rawg.io/media/screenshots/9db/9db5d5ae17b26e26174d289e2654ed60.jpg
8933,BioWare,bioware,66,https://media.rawg.io/media/games/6e0/6e0c19bb111bd4fa20cf0eb72a049519.jpg
17,Capcom U.S.A,capcom-usa-inc,81,https://media.rawg.io/media/games/f75/f751a9a43abb507bf95f9b96cc79feac.jpg
9023,CD PROJEKT RED,cd-projekt-red,26,https://media.rawg.io/media/screenshots/cec/cec3bfdf1bcd8e9d49eaece1b8239cf3.jpg
3524,Rockstar North,rockstar-north,30,https://media.rawg.io/media/screenshots/b98/b98adb52b2123a14d1c88e828a6b49f3.jpg
5833,Raven Software,raven-software,48,https://media.rawg.io/media/games/7e3/7e327a055bedb9b6d1be86593bef473d.jpg
4037,Crystal Dynamics,crystal-dynamics,48,https://media.rawg.io/media/screenshots/0eb/0eb9b0a21acefe84e6604dc9a7f5ce67.jpg
237,505 Games,505-games,53,https://media.rawg.io/media/screenshots/73a/73a2c7af85d51bbdb20516bf2128fd7d.jpg
1072,Digital Extremes,digital-extremes,21,https://media.rawg.io/media/games/657/657574cd437df9102f511b3be095b0ea.jpg
13328,Team17 Digital,team17-digital,112,https://media.rawg.io/media/screenshots/1b3/1b3680c0604d4e3c65fc883fd6ace209.jpg
13071,Naughty Dog,naughty-dog,28,https://media.rawg.io/media/games/837/837a609b0584db5d03534c8e767861b1.jpg
4149,2K Australia,2k-australia,12,https://media.rawg.io/media/screenshots/f2e/f2e59a790f186dbeb0a0085ef4558385.jpg
3543,Codemasters,codemasters,122,https://media.rawg.io/media/games/78d/78dfae12fb8c5b16cd78648553071e0a.jpg
6763,FromSoftware,fromsoftware,79,https://media.rawg.io/media/games/2fb/2fb314c08c8e67d5b66c36e3ae2ad16b.jpg
