publisher_id,name,slug,games_count,image_background
354,Electronic Arts,electronic-arts,1345,https://media.rawg.io/media/games/d47/d479582ed0a46496ad34f65c7099d7e5.jpg
308,Square Enix,square-enix,614,https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg
918,Ubisoft Entertainment,ubisoft-entertainment,1105,https://media.rawg.io/media/games/849/849414b978db37d4563ff9e4b0d3a787.jpg
20987,Microsoft Studios,microsoft-studios,501,https://media.rawg.io/media/games/fad/fadc4be043ed07904012d47cd02671e4.jpg
3408,SEGA,sega-2,1293,https://media.rawg.io/media/screenshots/4d9/4d9afae02fdf2896569b1c7bfeabb8c1.jpg
3399,Valve,valve,48,https://media.rawg.io/media/games/66e/66e90c9d7b9a17335b310ceb294e9365.jpg
339,Bethesda Softworks,bethesda-softworks,193,https://media.rawg.io/media/games/e53/e5372e767149bc88106e1da0ae7e9104.jpg
358,2K Games,2k-games,222,https://media.rawg.io/media/games/74c/74ca0ec569682a150f3c6f9f661fb6a5.jpg
19651,Feral Interactive,feral-interactive,111,https://media.rawg.io/media/games/16b/16b1b7b36e2042d1128d5a3e852b3b2f.jpg
2150,Capcom,capcom,647,https://media.rawg.io/media/games/09e/09e34396a92952c57b1bfb1decfddfa3.jpg
350,Warner Bros. Interactive,warner-bros-interactive,217,https://media.rawg.io/media/games/a87/a8743bdee8627c55bb9f2f01b9136ac1.jpg
10212,Sony Computer Entertainment,sony-computer-entertainment,512,https://media.rawg.io/media/games/a5a/a5a7fb8d9cb8063a8b42ee002b410db6.jpg
1283,THQ Nordic,thq-nordic,249,https://media.rawg.io/media/games/cb7/cb770f3f9871e1130f40812b05e401b2.jpg
1307,Devolver Digital,devolver-digital,192,https://media.rawg.io/media/games/948/948fe7f00b6cba8472f5ecd07a455077.jpg
8352,Bandai Namco Entertainment,bandai-namco-entertainment,621,https://media.rawg.io/media/screenshots/7fa/7fa3e1fbabb9fb5c77525e47fa49e261.jpg
3363,Aspyr,aspyr,119,https://media.rawg.io/media/games/55e/55ee6432ac2bf224610fa17e4c652107.jpg
10830,Activision Blizzard,activision-blizzard,693,https://media.rawg.io/media/games/4ea/4ea507ceebeabb43edbc09468f5aaac6.jpg
311,Deep Silver,deep-silver,192,https://media.rawg.io/media/games/a72/a72e405a19f93dc68cbc06d7a39b2a4a.jpg
10681,Nintendo,nintendo,1244,https://media.rawg.io/media/games/b3c/b3c209cd49aae8a469a59b79b54dc599.jpg
11687,Sony Interactive Entertainment,sony-interactive-entertainment,310,https://media.rawg.io/media/games/7b9/7b9f4c71b8138d4fd7a88b1c067e5c44.jpg
2155,Rockstar Games,rockstar-games,83,https://media.rawg.io/media/games/bcd/bcdadb5dd2be66dd4dd1f657275b3f8e.jpg
243,505 Games,505-games,191,https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg
3656,Paradox Interactive,paradox-interactive,309,https://media.rawg.io/media/games/c22/c22d804ac753c72f2617b3708a625dec.jpg
6062,THQ,thq,504,https://media.rawg.io/media/games/94a/94a59c5136a9b90eef5f23fea7bf997c.jpg
221,Telltale Games,telltale-games,121,https://media.rawg.io/media/games/471/4712c9ac591f556f553556b864a7e92b.jpg
7133,Activison,activison,102,https://media.rawg.io/media/screenshots/b47/b47bd2d273344de393bf9658e62a9fb9.jpg
402,Team17 Digital,team17-digital-ltd,172,https://media.rawg.io/media/games/4c7/4c7fd2f57c9be42040505ad8287f0198.jpg
10691,Konami,konami,877,https://media.rawg.io/media/games/45d/45da4dc311d84b79230317d7b24a3dec.jpg
250,Disney Interactive,disney-interactive,344,https://media.rawg.io/media/games/7e8/7e8890a662539b1bdefcf57409aef765.jpg
31896,BANDAI NAMCO Entertainment US,bandai-namco-entertainment-us,160,https://media.rawg.io/media/games/27c/27cb94ed1763fec383fb99151580095a.jpg
4879,1C-SoftClub,1c-softclub,51,https://media.rawg.io/media/games/7ea/7ea3575b85ee2a8097b99583aa7c86f3.jpg
713,Focus Home Interactive,focus-home-interactive,153,https://media.rawg.io/media/games/6b4/6b4353172a07d3c4c83fa731f7ddaee6.jpg
3370,1C Company,1c-company,180,https://media.rawg.io/media/screenshots/6ab/6abfd025d38b2a8e092971e932968698.jpg
11461,LucasArts Entertainment,lucasarts-entertainment,133,https://media.rawg.io/media/games/eec/eeccbd9e91dd1696ddb1dffef99aec72.jpg
1294,Codemasters,codemasters,200,https://media.rawg.io/media/games/23d/23d78acedbb5f40c9fb64e73af5af65d.jpg
2157,Daedalic Entertainment,daedalic-entertainment,126,https://media.rawg.io/media/games/2e6/2e6a43949b938f8f34bac7b7d6640fa1.jpg
10877,Eidos Interactive,eidos-interactive,151,https://media.rawg.io/media/screenshots/c1f/c1fd8b15793743563367688b3dd5faa6.jpg
515,Plug In Digital,plug-in-digital-2,275,https://media.rawg.io/media/screenshots/f1b/f1b0278f9274c835814a4bdbbd5d0cee.jpg
7411,CD PROJEKT RED,cd-projekt-red,29,https://media.rawg.io/media/screenshots/41a/41a49d52099d71ba9cd9fdcda144c820.jpg
9835,Kiss,kiss-ltd,155,https://media.rawg.io/media/screenshots/464/46461a239c32cd68d3dc07add1c8c7a9.jpg
34843,Xbox Game Studios,xbox-game-studios,66,https://media.rawg.io/media/games/e1f/e1ffbeb1bac25b19749ad285ca29e158.jpg
8,Curve Digital,curve-digital,54,https://media.rawg.io/media/games/3f4/3f43f03406a5ea087352bf32d60e3a0a.jpg
1779,Atari,atari,526,https://media.rawg.io/media/games/ee3/ee3e10193aafc3230ba1cae426967d10.jpg
460,tinyBuild,tinybuild,125,https://media.rawg.io/media/games/ae1/ae1d93f1c29850a246cd6480a7b8ebdf.jpg
3998,Annapurna Interactive,annapurna-interactive,49,https://media.rawg.io/media/games/035/035b7bd6d015e07e501d2234ec629dc3.jpg
7544,Double Fine Productions,double-fine-productions,28,https://media.rawg.io/media/screenshots/b47/b472cda3827b3e01944d2ab60e98ff97.jpg
4743,Buka Entertainment,buka-entertainment,98,https://media.rawg.io/media/screenshots/5ef/5ef697b7f02e556e05139850355b77e6.jpg
11186,Kalypso Media,kalypso-media,134,https://media.rawg.io/media/games/d1e/d1e70ce3762efcfc170c6bd067d7e9e3.jpg
11279,Take Two Interactive,take-two-interactive,62,https://media.rawg.io/media/screenshots/3f5/3f5f1764b5321962e40d663e301769c1.jpg
180,Headup Games,headup-games,140,https://media.rawg.io/media/screenshots/bf1/bf17f3355be57f92313ec8ce3fc56f11.jpeg
9065,Atlus,atlus,252,https://media.rawg.io/media/screenshots/ad7/ad7b8d629f5df8f26d3924111cce87cd.jpg
11230,FromSoftware,fromsoftware,26,https://media.rawg.io/media/screenshots/e33/e338020371e449560a23280dc25d6a7b.jpg
349,GHI Media,ghi-media-llc,31,https://media.rawg.io/media/games/81e/81e5cf3f433473af3a04888e3baceeba.jpg
5050,Koch Media,koch-media,68,https://media.rawg.io/media/screenshots/1a4/1a4e67a81e5886c0ddab5190bc95019d.jpg
11620,Activision Value Publishing,activision-value-publishing,180,https://media.rawg.io/media/games/b17/b17ce7ab3187cc3f42d263d9511adac0.jpg
55134,PlayStation PC,playstation-pc-llc,15,https://media.rawg.io/media/games/de6/de66bc4c72b45c3bb906c85d0628112d.jpg
11483,Interplay Productions,interplay-productions,236,https://media.rawg.io/media/games/1c7/1c761e6bb9f9d47e48cec4484c7186bb.jpg
2068,Raw Fury,raw-fury,75,https://media.rawg.io/media/games/db9/db97619f5a9fe6573f7bf2fb26702fd8.jpg
334,Playdigious,playdigious,25,https://media.rawg.io/media/screenshots/351/351ee0915fcd5a64e976791794039d5c.jpg
3603,Nightdive Studios,nightdive-studios,116,https://media.rawg.io/media/games/65f/65f661f1487395055ba05e0a95fc0330.jpg
3203,11 bit studios,11-bit-studios,35,https://media.rawg.io/media/screenshots/3e0/3e0bed150fdd09bc7a0471f245628827.jpg
3178,Klei Entertainment,klei-entertainment,22,https://media.rawg.io/media/screenshots/fde/fde071a634b0fd481644e52bf36bb34d.jpg
1287,Microids,microids-2,206,https://media.rawg.io/media/games/400/4002753ab3a1275bb1e46aa9fe2c3592.jpg
11237,Blizzard Entertainment,blizzard-entertainment,52,https://media.rawg.io/media/games/923/923a5dd13b6e79dd23ab2d09934f0e8d.jpg
3197,Bohemia Interactive,bohemia-interactive,46,https://media.rawg.io/media/screenshots/ca4/ca4dd24501fecb95fef9f41645e0fecb.jpg
2710,Rebellion,rebellion,52,https://media.rawg.io/media/screenshots/c7b/c7b359b49951c1e48dce5d24b1b1cdd9.jpg
4253,Strategy First,strategy-first,265,https://media.rawg.io/media/games/ee4/ee4520c8196ae7594f67fb653adf2b85.jpg
3678,Larian Studios,larian-studios,14,https://media.rawg.io/media/games/7d8/7d89761cadbd930a2e3cf7ff2679882f.jpg
3428,Tripwire Interactive,tripwire-interactive,20,https://media.rawg.io/media/screenshots/568/5689d82dba6f476bd69eee416ac662ed.jpg
4910,Coffee Stain Studios,coffee-stain-studios,29,https://media.rawg.io/media/games/a44/a444a7628bdb49b24d06a7672f805814.jpg
641,Iceberg Interactive,iceberg-interactive,95,https://media.rawg.io/media/screenshots/084/08421230c723ff789560a82efa53aed0.jpg
3389,Back To Basics Gaming,back-to-basics-gaming,63,https://media.rawg.io/media/screenshots/840/840e6adc716c65db8ae9c448c0404782.jpg
4640,3D Realms,3d-realms,51,https://media.rawg.io/media/screenshots/333/333f799ead924f1d145e74d871a34c5d.jpg
3911,Forever Entertainment,forever-entertainment-s-a,140,https://media.rawg.io/media/screenshots/6ae/6ae179d89d253b92542849ad73c72569.jpg
241,id Software,id-software,30,https://media.rawg.io/media/screenshots/caa/caad2ab8bf9299b0d0176d2c3bc90203.jpg
5931,Frictional Games,frictional-games,10,https://media.rawg.io/media/games/a45/a45abc50643f0fa355f5cb24cbb94744.jpg
11472,GT Interactive Software,gt-interactive-software,90,https://media.rawg.io/media/screenshots/60b/60b74fccd30274db00ef51b97b41862c.jpg
10392,PlayWay,playway,294,https://media.rawg.io/media/games/2bd/2bd7c117057e74c03b6ea9577ae8e4c1.jpg
2647,Chucklefish,chucklefish,25,https://media.rawg.io/media/screenshots/5be/5bef7d4db9d5ba2e83d94160baf3dcbc.jpg
3241,Supergiant Games,supergiant-games,5,https://media.rawg.io/media/games/8fd/8fd2e8317849fd265ad8781c324d4ec2.jpg
10302,Quantic Dream,quantic-dream,7,https://media.rawg.io/media/games/6a7/6a78ff1d0b8c1e454886a64fe521eeee.jpeg
1034,Majesco Entertainment,majesco-entertainment,192,https://media.rawg.io/media/screenshots/f91/f91ad4ba62fe9d2f52e8342d3704cddf.jpg
16614,Good Shepherd Entertainment,good-shepherd-entertainment,39,https://media.rawg.io/media/games/55d/55dd16f70b86426359334a785a1888e6.jpg
10887,Sierra Entertainment,sierra-entertainment,113,https://media.rawg.io/media/screenshots/dd1/dd1b7fa3f34b2fd7b4b6a81b3903740a.jpg
11434,Sierra On-Line,sierra-on-line,256,https://media.rawg.io/media/screenshots/51a/51a292d00ed8b9f2ca51b56a15c18c96.jpg
3169,Sekai Project,sekai-project,217,https://media.rawg.io/media/screenshots/96c/96c941e09dba90a1b1a1636b194cf730.jpg
5141,TopWare Interactive,topware-interactive-2,39,https://media.rawg.io/media/screenshots/223/223cf5be09ac10204e5b9a6a1cfb9da4.jpg
725,Nicalis,nicalis,45,https://media.rawg.io/media/screenshots/5d4/5d4309714a23f3d3495c4fe3fb9bbac9.jpg
1029,Nordic Games,nordic-games,27,https://media.rawg.io/media/screenshots/994/994624026c40ce39e148cc2239a26c61.jpg
3342,Gearbox Publishing,gearbox-publishing,28,https://media.rawg.io/media/screenshots/b9b/b9b4ecfd38c3f756990b22b054756757.jpg
415,Adult Swim Games,adult-swim-games,37,https://media.rawg.io/media/screenshots/c04/c042f968f23b4bb98e50f20363093e23.jpg
11194,Square,square,69,https://media.rawg.io/media/games/30c/30c067f9a6736000c8faf2efe4952a9b.jpg
22345,Fellow Traveller,fellow-traveller,42,https://media.rawg.io/media/screenshots/09c/09c91a8e9b718909e8c2fbf3cff1e597.jpg
34714,NVIDIA,nvidia,4,https://media.rawg.io/media/games/198/1988a337305e008b41d7f536ce9b73f6.jpg
258,Perfect World Entertainment,perfect-world-entertainment,25,https://media.rawg.io/media/screenshots/b44/b44e00fd4718f0a22981c370d7855b35.jpg
3337,Surprise Attack,surprise-attack,23,https://media.rawg.io/media/screenshots/2d6/2d6d0078f12398f40c059be58ab3e300.jpg
14676,Koei Tecmo Games,koei-tecmo-games,191,https://media.rawg.io/media/games/7e2/7e2579ac776c280ee1773ffad4516466.jpg
